6422 130254
453 while 69
454 adjusting 1
455 ideas 13
456 continued 49
457 return 44
458 mr 19
459 sick 5
460 sorry 31
461 hear 69
462 _that_ 30
463 did 234
464 morning 74
465 called 38
466 unlucky 9
467 actually 10
468 escape 9
469 astonishment 28
470 ladies 73
471 surpassing 1
472 rest 33
473 tumult 3
474 joy 9
475 declare 8
476 expected 38
477 persuade 17
478 loved 6
479 too 125
480 neglect 10
481 pleased 34
482 joke 3
483 gone 58
484 never 194
485 choose 17
486 spoke 39
487 left 61
488 room 106
489 fatigued 4
490 raptures 6
491 excellent 19
492 door 30
493 shut 5
494 ever 115
495 amends 5
496 either 51
497 matter 26
498 time 185
499 pleasant 21
500 making 33
501 new 23
502 acquaintances 11
503 every 171
504 sakes 2
505 _are_ 1
506 youngest 12
507 dance 32
508 stoutly 1
509 afraid 33
510 _am_ 1
511 'm 1
512 tallest 1
513 spent 20
514 conjecturing 2
515 determining 2
516 ask 29
517 dinner 32
518 3 1
519 assistance 12
520 could 481
521 subject 77
522 sufficient 4
523 draw 6
524 husband 41
525 satisfactory 6
526 description 7
527 attacked 1
528 various 9
529 ways 3
530 -- 374
531 barefaced 1
532 questions 16
533 ingenious 2
534 suppositions 1
535 distant 5
536 surmises 1
537 eluded 1
538 skill 3
539 were 526
540 obliged 27
541 accept 14
542 second-hand 1
543 intelligence 17
544 neighbour 8
545 report 13
546 highly 26
547 favourable 11
548 wonderfully 2
549 extremely 14
550 agreeable 43
551 crown 1
552 whole 77
553 meant 25
554 assembly 9
555 nothing 158
556 delightful 17
557 fond 15
558 dancing 21
559 certain 48
560 step 16
561 towards 64
562 falling 3
563 lively 13
564 hopes 22
565 heart 41
566 entertained 7
567 happily 5
568 settled 47
569 equally 18
570 wish 85
571 days 26
572 sat 33
573 ten 30
574 minutes 33
575 library 20
576 being 162
577 admitted 9
578 sight 15
579 whose 57
580 saw 99
581 somewhat 8
582 fortunate 15
583 ascertaining 1
584 upper 2
585 window 15
586 wore 2
587 blue 2
588 coat 4
589 rode 2
590 black 1
591 horse 3
592 afterwards 29
593 dispatched 4
594 already 25
595 planned 2
596 courses 3
597 credit 22
598 housekeeping 3
599 arrived 14
600 deferred 2
601 town 61
602 consequently 10
603 etc 7
604 disconcerted 3
605 imagine 23
606 arrival 29
607 hertfordshire 41
608 fear 22
609 might 176
610 flying 2
611 another 48
612 quieted 2
613 fears 8
614 starting 1
615 idea 45
616 london 52
617 followed 20
618 bring 16
619 twelve 4
620 seven 1
621 gentlemen 37
622 grieved 12
623 number 5
624 comforted 1
625 instead 18
626 brought 36
627 six 10
628 cousin 42
629 entered 34
630 consisted 2
631 altogether 8
632 eldest 18
633 good-looking 1
634 gentlemanlike 7
635 countenance 29
636 easy 21
637 unaffected 5
638 manners 41
639 women 19
640 air 30
641 decided 10
642 fashion 7
643 brother-in-law 4
644 hurst 33
645 looked 66
646 gentleman 30
647 darcy 361
648 drew 18
649 attention 63
650 tall 7
651 person 45
652 features 8
653 noble 7
654 mien 1
655 circulation 2
656 within 31
657 entrance 12
658 having 89
659 pronounced 10
660 figure 8
661 declared 14
662 handsomer 3
663 admiration 25
664 gave 49
665 disgust 5
666 turned 42
667 tide 2
668 popularity 1
669 discovered 7
670 proud 21
671 above 21
672 company 21
673 estate 19
674 derbyshire 21
675 save 2
676 most 172
677 forbidding 1
678 disagreeable 12
679 unworthy 4
680 compared 3
681 himself 120
682 principal 14
683 people 49
684 unreserved 3
685 danced 12
686 angry 13
687 closed 6
688 early 25
689 talked 33
690 amiable 32
691 qualities 4
692 speak 59
693 contrast 3
694 between 60
695 once 49
696 miss 269
697 declined 6
698 introduced 7
699 walking 21
700 speaking 30
701 occasionally 10
702 proudest 1
703 world 54
704 everybody 36
705 hoped 17
706 again 161
707 amongst 12
708 violent 8
709 against 49
710 dislike 20
711 behaviour 50
712 sharpened 2
713 particular 27
714 resentment 14
715 slighted 2
716 scarcity 1
717 sit 11
718 dances 10
719 during 24
720 part 57
721 standing 13
722 near 34
723 conversation 57
724 press 4
725 join 16
726 hate 7
727 yourself 37
728 stupid 4
729 detest 3
730 unless 16
731 particularly 29
732 partner 15
733 insupportable 3
734 engaged 34
735 whom 82
736 punishment 5
737 up 111
738 fastidious 2
739 kingdom 4
740 met 36
741 several 22
742 uncommonly 9
743 pretty 23
744 girl 35
745 looking 26
746 beautiful 14
747 creature 12
748 beheld 2
749 sitting 19
750 behind 13
751 turning 12
752 round 15
753 moment 60
754 catching 1
755 eye 13
756 withdrew 4
757 coldly 2
758 tolerable 13
759 tempt 4
760 _me_ 17
761 present 62
762 consequence 27
763 enjoy 6
764 smiles 9
765 wasting 1
766 advice 15
767 walked 41
768 off 57
769 remained 20
770 cordial 3
771 toward 4
772 story 9
773 spirit 8
774 playful 2
775 disposition 22
776 ridiculous 3
777 passed 56
778 pleasantly 4
779 family 135
780 seen 72
781 admired 12
782 twice 14
783 distinguished 6
784 gratified 12
785 quieter 1
786 felt 90
787 jane's 2
788 pleasure 87
789 mentioned 24
790 accomplished 11
791 catherine 101
792 without 156
793 partners 3
794 yet 64
795 learnt 12
796 care 32
797 spirits 36
798 longbourn 83
799 village 6
800 where 87
801 lived 14
802 inhabitants 3
803 found 63
804 book 16
805 regardless 2
806 deal 33
807 curiosity 19
808 event 21
809 raised 6
810 splendid 2
811 expectations 7
812 rather 46
813 stranger 12
814 disappointed 12
815 out 127
816 different 33
817 thought 103
818 asked 37
819 vexed 7
820 admire 14
821 nobody 15
822 seemed 64
823 struck 13
824 going 48
825 inquired 8
826 got 23
827 third 7
828 king 8
829 fourth 2
830 maria 19
831 fifth 1
832 sixth 1
833 _boulanger_ 1
834 god 4
835 sprained 1
836 ankle 1
837 excessively 10
838 charming 18
839 elegant 13
840 dresses 1
841 lace 1
842 gown 7
843 interrupted 8
844 protested 8
845 finery 2
846 seek 7
847 branch 1
848 related 15
849 bitterness 3
850 exaggeration 1
851 shocking 6
852 rudeness 2
853 added 67
854 lose 10
855 suiting 1
856 _his_ 9
857 fancy 18
858 horrid 3
859 worth 13
860 pleasing 21
861 conceited 6
862 enduring 1
863 fancying 4
864 given 46
865 set-downs 1
866 4 1
867 alone 25
868 former 33
869 cautious 4
870 praise 21
871 expressed 21
872 sister 197
873 happy 70
874 ease 16
875 perfect 16
876 breeding 5
877 also 32
878 likewise 17
879 possibly 7
880 thereby 2
881 complete 7
882 flattered 7
883 asking 12
884 expect 33
885 compliment 26
886 difference 10
887 compliments 10
888 surprise 32
889 natural 21
890 help 34
891 seeing 55
892 thanks 14
893 gallantry 8
894 leave 60
895 liked 25
896 stupider 1
897 apt 1
898 fault 6
899 anybody 24
900 eyes 49
901 ill 39
902 human 6
903 hasty 4
904 censuring 1
905 anyone 23
906 makes 6
907 wonder 29
908 _your_ 13
909 sense 32
910 honestly 4
911 blind 6
912 follies 4
913 affectation 3
914 candour 3
915 common 18
916 meets 2
917 everywhere 2
918 candid 1
919 ostentation 1
920 bad 15
921 belongs 1
922 equal 29
923 converse 3
924 brother 67
925 mistaken 17
926 listened 20
927 silence 32
928 convinced 37
929 calculated 3
930 please 12
931 observation 13
932 pliancy 1
933 judgement 11
934 unassailed 1
935 disposed 15
936 approve 4
937 fact 13
938 deficient 5
939 power 38
940 chose 16
941 educated 2
942 private 10
943 seminaries 1
944 pounds 24
945 habit 5
946 spending 4
947 associating 1
948 rank 12
949 entitled 2
950 meanly 1
951 respectable 11
952 circumstance 18
953 deeply 3
954 impressed 1
955 memories 2
956 acquired 2
957 trade 4
958 inherited 1
959 amount 2
960 nearly 8
961 hundred 5
962 purchase 6
963 sometimes 33
964 choice 11
965 county 5
966 provided 7
967 liberty 7
968 manor 2
969 doubtful 2
970 easiness 3
971 whether 48
972 spend 13
973 remainder 1
974 generation 1
975 anxious 21
976 established 7
977 tenant 1
978 means 52
979 unwilling 8
980 preside 1
981 table 26
982 home 60
983 suited 3
984 age 15
985 tempted 7
986 accidental 3
987 recommendation 4
988 look 50
989 half-an-hour 7
990 situation 32
991 rooms 8
992 satisfied 31
993 owner 4
994 took 50
995 steady 12
996 friendship 9
997 spite 18
998 opposition 2
999 endeared 1
1000 openness 3
1001 ductility 1
1002 offer 25
1003 greater 22
1004 appeared 28
1005 dissatisfied 4
1006 strength 6
1007 regard 44
1008 firmest 2
1009 reliance 1
1010 highest 8
1011 superior 16
1012 clever 7
1013 same 65
1014 haughty 3
1015 reserved 5
1016 well-bred 4
1017 inviting 3
1018 greatly 13
1019 wherever 8
1020 continually 6
1021 offense 3
1022 meryton 55
1023 sufficiently 5
1024 characteristic 2
1025 prettier 1
1026 kind 54
1027 attentive 9
1028 formality 3
1029 stiffness 2
1030 conceive 2
1031 angel 3
1032 contrary 10
1033 collection 4
1034 smallest 10
1035 interest 23
1036 received 54
1037 smiled 18
1038 allowed 22
1039 sweet 6
1040 object 44
1041 authorized 1
1042 commendation 8
1043 5 1
1044 short 41
1045 walk 47
1046 bennets 10
1047 intimate 11
1048 formerly 7
1049 risen 1
1050 knighthood 2
1051 address 18
1052 mayoralty 1
1053 distinction 5
1054 strongly 7
1055 residence 4
1056 small 23
1057 market 1
1058 quitting 7
1059 both 63
1060 removed 14
1061 mile 5
1062 denominated 1
1063 period 14
1064 lodge 6
1065 importance 21
1066 unshackled 1
1067 occupy 2
1068 solely 4
1069 civil 17
1070 elated 1
1071 render 3
1072 supercilious 1
1073 nature 23
1074 inoffensive 1
1075 friendly 6
1076 obliging 4
1077 presentation 5
1078 st. 5
1079 james 5
1080 courteous 1
1081 valuable 8
1082 intelligent 4
1083 twenty-seven 2
1084 lucases 11
1085 absolutely 16
1086 necessary 28
1087 communicate 2
1088 charlotte 81
1089 self-command 1
1090 yes 69
1091 suppose 42
1092 because 58
1093 _did_ 5
1094 seem 16
1095 hardly 43
1096 robinson 3
1097 overheard 3
1098 _which_ 1
1099 prettiest 1
1100 answering 3
1101 question 19
1102 'oh 1
1103 beyond 34
1104 doubt 31
1105 opinions 6
1106 point 43
1107 ' 31
1108 _my_ 14
1109 overhearings 1
1110 purpose 12
1111 _yours_ 2
1112 eliza 22
1113 listening 10
1114 _tolerable_ 1
1115 beg 15
1116 put 29
1117 head 32
1118 ill-treatment 1
1119 misfortune 9
1120 night 30
1121 close 9
1122 opening 11
1123 lips 9
1124 ma'am 7
1125 speaks 3
1126 _them_ 5
1127 remarkably 10
1128 guess 4
1129 eat 5
1130 somehow 2
1131 carriage 42
1132 hack 1
1133 talking 37
1134 _him_ 10
1135 safely 3
1136 promise 10
1137 _never_ 1
1138 offend 3
1139 excuse 14
1140 everything 44
1141 favour 22
1142 express 22
1143 _right_ 1
1144 true 24
1145 easily 21
1146 forgive 8
1147 mortified 2
1148 _mine_ 3
1149 observed 26
1150 piqued 1
1151 solidity 2
1152 reflections 9
1153 failing 2
1154 prone 2
1155 cherish 1
1156 feeling 33
1157 self-complacency 1
1158 score 2
1159 quality 2
1160 real 29
1161 imaginary 5
1162 vanity 17
1163 things 27
1164 words 27
1165 used 19
1166 synonymously 1
1167 vain 20
1168 relates 2
1169 ourselves 8
1170 rich 9
1171 pack 2
1172 foxhounds 1
1173 drink 7
1174 bottle 2
1175 wine 3
1176 away 109
1177 directly 19
1178 boy 3
1179 argument 5
1180 ended 4
1181 6 2
1182 due 9
1183 form 12
1184 grew 6
1185 goodwill 2
1186 intolerable 3
1187 younger 28
1188 greatest 19
1189 superciliousness 1
1190 treatment 4
1191 excepting 3
1192 even 71
1193 value 7
1194 arising 3
1195 probability 9
1196 influence 13
1197 generally 14
1198 evident 16
1199 whenever 20
1200 yielding 3
1201 begun 1
1202 entertain 4
1203 united 7
1204 composure 14
1205 uniform 1
1206 cheerfulness 7
1207 guard 7
1208 suspicions 4
1209 impertinent 5
1210 able 50
1211 impose 2
1212 public 12
1213 case 28
1214 disadvantage 4
1215 guarded 9
1216 conceals 1
1217 affection 48
1218 opportunity 29
1219 fixing 2
1220 consolation 10
1221 dark 2
1222 gratitude 16
1223 almost 52
1224 attachment 23
1225 safe 8
1226 itself 8
1227 _begin_ 1
1228 freely 4
1229 slight 18
1230 encouragement 8
1231 nine 2
1232 show 6
1233 _more_ 1
1234 feels 4
1235 undoubtedly 10
1236 allow 26
1237 perceive 6
1238 simpleton 4
1239 discover 7
1240 remember 20
1241 partial 9
1242 endeavour 20
1243 conceal 11
1244 sees 6
1245 tolerably 14
1246 hours 24
1247 together 60
1248 each 56
1249 mixed 2
1250 parties 12
1251 conversing 3
1252 half-hour 6
1253 command 6
1254 secure 12
1255 leisure 12
1256 plan 13
1257 adopt 3
1258 acting 3
1259 degree 22
1260 reasonableness 1
1261 dined 6
1262 represent 3
1263 _dined_ 1
1264 appetite 2
1265 evenings 4
1266 enabled 2
1267 ascertain 2
1268 vingt-un 1
1269 commerce 1
1270 leading 4
1271 unfolded 5
1272 success 18
1273 happiness 62
1274 studying 4
1275 twelvemonth 6
1276 marriage 48
1277 entirely 24
1278 dispositions 1
1279 similar 3
1280 beforehand 1
1281 advance 3
1282 felicity 17
1283 continue 9
1284 grow 4
1285 unlike 3
1286 vexation 10
1287 possible 49
1288 defects 5
1289 pass 16
1290 laugh 13
1291 sound 8
1292 occupied 6
1293 attentions 25
1294 far 53
1295 suspecting 2
1296 becoming 3
1297 scarcely 42
1298 criticise 1
1299 sooner 13
1300 clear 8
1301 feature 2
1302 face 25
1303 rendered 10
1304 expression 19
1305 discovery 7
1306 succeeded 7
1307 mortifying 6
1308 detected 2
1309 critical 1
1310 failure 1
1311 symmetry 1
1312 forced 17
1313 acknowledge 6
1314 light 17
1315 asserting 1
1316 fashionable 1
1317 caught 11
1318 playfulness 1
1319 perfectly 43
1320 unaware 1
1321 nowhere 1
1322 attended 23
1323 doing 22
1324 notice 20
1325 assembled 6
1326 colonel 66
1327 forster 39
1328 satirical 1
1329 begin 8
1330 approaching 10
1331 seeming 3
1332 intention 15
1333 defied 1
1334 provoking 3
1335 energy 3
1336 energetic 1
1337 severe 8
1338 turn 25
1339 teased 2
1340 open 16
1341 instrument 11
1342 follows 5
1343 strange 9
1344 wanting 7
1345 play 18
1346 sing 5
1347 musical 1
1348 invaluable 2
1349 performers 1
1350 persevering 1
1351 gravely 4
1352 glancing 4
1353 saying 33
1354 course 39
1355 familiar 3
1356 'keep 1
1357 breath 2
1358 cool 2
1359 porridge 1
1360 mine 8
1361 swell 1
1362 song 5
1363 performance 6
1364 capital 4
1365 entreaties 4
1366 eagerly 14
1367 plain 11
1368 worked 3
1369 hard 10
1370 accomplishments 4
1371 impatient 8
1372 display 4
1373 neither 33
1374 genius 2
1375 taste 13
1376 application 8
1377 pedantic 1
1378 injured 4
1379 higher 3
1380 excellence 2
1381 reached 16
1382 playing 6
1383 concerto 1
1384 scotch 2
1385 irish 1
1386 airs 1
1387 request 12
1388 three 51
1389 officers 30
1390 joined 28
1391 stood 10
1392 silent 24
1393 indignation 7
1394 mode 5
1395 passing 10
1396 exclusion 1
1397 engrossed 5
1398 thoughts 25
1399 thus 25
1400 refinements 1
1401 polished 2
1402 society 30
1403 vogue 1
1404 societies 1
1405 savage 1
1406 performs 1
1407 delightfully 3
1408 pause 17
1409 group 2
1410 adept 1
1411 science 1
1412 inconsiderable 1
1413 st 1
1414 proper 17
1415 pay 9
1416 avoid 17
1417 conclude 5
1418 bowed 3
1419 feel 33
1420 paused 3
1421 companion 15
1422 instant 6
1423 moving 4
1424 action 2
1425 gallant 1
1426 desirable 10
1427 refuse 5
1428 taking 17
1429 hand 21
1430 surprised 32
1431 receive 25
1432 instantly 31
1433 discomposure 2
1434 entreat 6
1435 moved 9
1436 order 7
1437 grave 7
1438 propriety 7
1439 requested 2
1440 shake 2
1441 attempt 20
1442 persuasion 6
1443 excel 2
1444 cruel 4
1445 deny 7
1446 dislikes 1
1447 oblige 5
1448 politeness 16
1449 smiling 9
1450 considering 13
1451 inducement 5
1452 complaisance 5
1453 archly 2
1454 resistance 1
1455 complacency 4
1456 accosted 2
1457 reverie 1
1458 annoyed 1
1459 insipidity 1
1460 noise 3
1461 nothingness 1
1462 self-importance 4
1463 strictures 1
1464 conjecture 7
1465 totally 7
1466 wrong 14
1467 agreeably 3
1468 meditating 3
1469 pair 2
1470 bestow 6
1471 desired 5
1472 inspiring 1
1473 intrepidity 1
1474 repeated 20
1475 favourite 19
1476 pray 22
1477 exactly 28
1478 lady's 1
1479 imagination 3
1480 rapid 3
1481 jumps 1
1482 matrimony 5
1483 wishing 12
1484 nay 8
1485 serious 21
1486 mother-in-law 2
1487 pemberley 42
1488 indifference 13
1489 wit 5
1490 flowed 1
1491 7 1
1492 unfortunately 2
1493 entailed 6
1494 default 1
1495 heirs 1
1496 male 1
1497 relation 8
1498 mother's 5
1499 ample 2
1500 supply 6
1501 deficiency 2
1502 attorney 3
1503 phillips 29
1504 clerk 1
1505 line 7
1506 convenient 4
1507 distance 16
1508 usually 8
1509 thither 8
1510 duty 12
1511 aunt 70
1512 milliner 2
1513 shop 5
1514 frequent 12
1515 vacant 5
1516 offered 8
1517 amuse 5
1518 furnish 4
1519 bare 1
1520 country 39
1521 contrived 3
1522 learn 7
1523 supplied 2
1524 recent 4
1525 militia 6
1526 regiment 22
1527 remain 10
1528 winter 14
1529 headquarters 1
1530 visits 3
1531 productive 1
1532 interesting 14
1533 names 5
1534 connections 15
1535 lodgings 5
1536 secret 6
1537 length 29
1538 visited 3
1539 opened 15
1540 store 1
1541 unknown 7
1542 animation 4
1543 worthless 2
1544 opposed 4
1545 regimentals 3
1546 ensign 1
1547 effusions 2
1548 coolly 4
1549 collect 2
1550 silliest 1
1551 suspected 8
1552 captain 4
1553 carter 4
1554 astonished 12
1555 ready 19
1556 slightingly 1
1557 happens 4
1558 sentiments 7
1559 coincided 1
1560 differ 1
1561 foolish 8
1562 red 3
1563 smart 2
1564 watson 1
1565 clarke 1
1566 prevented 21
1567 replying 3
1568 footman 1
1569 note 8
1570 servant 16
1571 sparkled 2
1572 calling 14
1573 haste 9
1574 aloud 10
1575 compassionate 2
1576 dine 16
1577 to-day 8
1578 louisa 6
1579 danger 18
1580 hating 1
1581 lives 4
1582 tete-a-tete 4
1583 quarrel 4
1584 receipt 2
1585 officers. 1
1586 yours 16
1587 caroline 15
1588 dining 6
1589 horseback 2
1590 seems 21
1591 rain 4
1592 stay 35
1593 scheme 16
1594 hursts 1
1595 horses 8
1596 theirs 1
1597 coach 10
